"Mouse_ID","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB.x","IL.17A","GAPDH.x","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","WL_max","origin","current_infection","immunization","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","GAPDH.y","PPIB.y","pc1","pc2","residuals_pc1_pc2"
"LM0371","E10","E64","E64","PWD_PWD","E10aKBG",12.62,16.15,78.1424148606811,0.2,5,"primary",55,40,49,60,1,204,510000,"ferrisi_ferrisi",TRUE,5.3077775064899,NA,NA,NA,NA,21.9301813924876,10.8092913821529,21.8115165082677,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,510000,78.1424148606811,"primary","F0 M. m. musculus","E_ferrisi","E_ferrisi",21.8575851393189,"Lab","primary","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.1524657021656,-17.8742359936228,-19.8326478466736,-9.62900044241127,-13.9555496535714,-22.4942549211662,-12.1575898900023,-11.0411690736658,-10.2575233528798,-19.5614454950021,-9.07819614653835,-11.6571865010282,-13.4461900131612,-25.6056938828852,-26.6072948914931,-4.27136988076794,-13.9744928167435,-17.5239218771352,-15.2341936518251,-5.525788981484,-10.8092913821529,3.25066492006402,-1.09068497643836,8.85433932718676
"LM0374","E10","E64","E88","PWD_PWD","E10aHRM",12.59,17.27,72.9009843659525,0.44,6,"primary",163,122,124,149,1,558,1395000,"ferrisi_falciformis",TRUE,4.09938905453927,NA,NA,NA,NA,20.4621375054328,11.7372609206921,21.0300395520089,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1550000,72.9009843659525,"primary","F0 M. m. musculus","E_ferrisi","E_falciformis",27.0990156340475,"Lab","primary","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.525310193849,-20.2383959911013,-20.2987720448309,-11.1787817362345,-13.3838724053245,-22.2784216570091,-14.4977670406313,-12.6300860402837,-10.3602047964898,-18.7605199617554,-9.45297633001646,-11.2437179346659,-13.8923624505202,-24.9666279772682,-26.2287881204205,-5.11300018638677,-13.1540080920721,-17.4544619974322,-15.821103266065,-4.94029517394616,-11.7372609206921,2.58704849105674,-1.29961962845808,14.1252749746399
"LM0378","E10","E64","UNI","PWD_PWD","E10aLNM",12.27,15.36,79.8828125,0.44,5,"primary",101,125,112,91,1,429,1072500,"ferrisi_uninfected",TRUE,4.765277852211,NA,NA,NA,NA,21.3778271849032,8.69363150281876,21.3090658509249,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1072500,79.8828125,"primary","F0 M. m. musculus","E_ferrisi","uninfected",20.1171875,"Lab","primary","uninfected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3895034655089,-17.2595022544658,-17.2972480593592,-10.8850224136151,-13.9132511964809,-25.3298437461642,-12.2299452805063,-10.4692919541253,-10.3323524691303,-24.269847856042,-7.87994456898188,-12.9115994078995,-12.1173245108696,-23.6043811949014,-24.8201000946611,-3.81042070477484,-15.013870254951,-15.1056994537779,-14.544074092191,-7.51336789912361,-8.69363150281876,4.10019155222999,-0.145271228162632,8.10137721870406
"LM0381","E10","E88","E88","SCHUNT_SCHUNT","E10aADZ",11.74,14.8,79.3243243243243,0.34,8,"primary",8,3,15,11,1,37,92500,"falciformis_falciformis",TRUE,5.83782153484687,NA,NA,NA,NA,20.7888767521426,14.8296039309317,27.5763602239809,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,92500,79.3243243243243,"primary","F0 M. m. domesticus","E_falciformis","E_falciformis",20.6756756756757,"Lab","primary","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.5141761020884,-20.5181276867391,-17.4593821643619,-15.4366376537403,-15.1281550161997,-21.8889787177454,-14.6392030661112,-14.2009288035943,-12.926730306745,-19.610562603858,-11.5651149332958,-11.8722265737096,-18.5509846672411,-24.3958158895905,-26.4289103275406,-12.2787207508581,-14.2379825000337,-22.0828659339415,-19.8901934273729,-4.78359571340598,-14.8296039309317,0.800014080089352,-3.1528358288501,5.82974124323596
"LM0382","E10","E88","E88","PWD_PWD","E10aBQF",14.03,17.96,78.1180400890868,NA,10,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_falciformis",TRUE,2.50609354680107,NA,NA,NA,NA,20.7000564694718,18.3162194057916,21.4768694799189,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,297500,78.1180400890868,"primary","F0 M. m. musculus","E_falciformis","E_falciformis",21.8819599109132,"Lab","primary","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.8627020667182,-23.1337482005097,-20.8352610853702,-14.9618334823948,-14.4110316545259,-26.0418990267895,-16.7883722361585,-14.4402462334133,-13.0814352961023,-19.6839754629472,-11.763351830614,-12.2807506541795,-21.3474599224629,-24.5605414280536,-25.0411470081902,-12.8653938539373,-14.6317811940665,-24.901228103596,-25.1822456429816,-11.2716519168372,-18.3162194057916,-0.985623538203512,-3.7144966155636,7.11622423710302
"LM0383","E10","E88","E88","PWD_PWD","E10aAEX",11.17,14.04,79.5584045584046,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_falciformis",TRUE,3.57660315504164,NA,NA,NA,NA,23.8551028261867,18.5028548708028,24.2636612195336,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,127500,79.5584045584046,"primary","F0 M. m. musculus","E_falciformis","E_falciformis",20.4415954415954,"Lab","primary","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.7395308365097,-22.0134674326583,-18.9528586472818,-9.61706278978424,-17.1255699093603,-23.202206684391,-16.2934411058046,-16.1342952523481,-12.6265643059011,-20.1112144007035,-10.9955201369861,-11.7963381206512,-23.6421375098784,-25.3397205395005,-27.8846723192404,-12.1210442409454,-14.0406807929967,-19.8222631964874,-22.3536911140245,-6.77798515657241,-18.5028548708028,-0.652238093541422,-2.51314387914231,7.31902135659908
"LM0384","E10","E88","E64","SCHUNT_SCHUNT","E10aRQH",15.9,19.28,82.4688796680498,NA,11,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,-1.11235294206817,NA,NA,NA,NA,24.718137139379,24.7489631636446,24.4740181860803,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,987500,82.4688796680498,"primary","F0 M. m. domesticus","E_falciformis","E_ferrisi",17.5311203319502,"Lab","primary","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.6124589160126,-23.7102672152437,-29.954326104104,-16.3500059714002,-16.8176492047665,-27.2161673422641,-23.8164670115619,-16.851255943701,-14.3966679518605,-22.6591917929568,-13.5015909003653,-14.1448584069899,-26.2804508834009,-29.1458415148629,-26.2431586202361,-14.8884624994365,-15.4265656935648,-27.1237697401409,-23.7197993247343,-8.33168395934604,-24.7489631636446,-4.22693875725712,-4.98823922768125,2.526543700493
"LM0386","E10","E88","E64","PWD_PWD","E10aXIP",13.65,16.9,80.7692307692308,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,4.5341052366896,NA,NA,NA,NA,21.8622991366291,16.0015498209927,25.6145339663669,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,457500,80.7692307692308,"primary","F0 M. m. musculus","E_falciformis","E_ferrisi",19.2307692307692,"Lab","primary","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.4508854761698,-21.3411194934469,-18.5045250526162,-14.418350889585,-14.0936781248608,-21.6790973214844,-15.2689823231717,-15.3978789789745,-11.6029417358912,-18.0920241420447,-10.2847202231371,-10.6806644284928,-19.0250620256157,-24.3401727591164,-22.9557953873042,-9.94577669975283,-12.7720714796046,-20.1213017957797,-20.6999302364555,-6.95857943021163,-16.0015498209927,1.09730864822036,-1.98378984479511,5.99792931907936
"LM0387","E10","E88","E64","PWD_PWD","E10aOJA",11.45,14.16,80.8615819209039,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,3.67658168157887,NA,NA,NA,NA,21.3731222035208,20.3509889658372,27.0202753780377,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,55000,80.8615819209039,"primary","F0 M. m. musculus","E_falciformis","E_ferrisi",19.1384180790961,"Lab","primary","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.7903330562775,-22.2746376400771,-24.1302319087244,-12.1005083518935,-14.925998406234,-23.123894627398,-17.7485256524181,-15.4606974795681,-12.8696944370627,-19.662893294781,-11.5677866858448,-12.1933486206323,-21.4549999278,-26.5908492778771,-27.5820791245773,-12.8820437240266,-13.6233515767716,-24.8304696209827,-23.3868592433649,-6.32317205078413,-20.3509889658372,-1.63776863627781,-3.51178804668326,5.01871219325175
"LM0388","E10","E88","UNI","SCHUNT_SCHUNT","E10aCCB",18.01,22.81,78.9565979833406,0.18,11,"primary",0,2,2,2,1,6,15000,"falciformis_uninfected",TRUE,-0.674684132371929,NA,NA,NA,NA,19.313050440781,10.9444255914076,19.4759568900728,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,592500,78.9565979833406,"primary","F0 M. m. domesticus","E_falciformis","uninfected",21.0434020166594,"Lab","primary","uninfected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.3003198531731,-19.2642774281928,-13.6485942914123,-12.3657468007296,-13.7035507993594,-21.7721988881381,-12.7911169706224,-11.2296772674922,-11.6364225997772,-19.3106692553435,-9.81969620529299,-11.6498690687535,-14.4104030054339,-23.8632264864143,-26.8495781895328,-6.74080070809516,-13.7900529973459,-16.1051062884316,-15.6524176876523,-6.0476437261067,-10.9444255914076,3.56393159418246,-1.67623772817898,6.99159169848115
