"infection","Mouse_ID","end_rel_weight","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","CASP1_N","CXCL9_N","CXCR3_N","IDO1_N","IFNy_N","IL.6_N","IL.10_N","IL.12A_N","IL.13_N","IL.17A_N","IL1RN_N","IRGM1_N","MPO_N","MUC2_N","MUC5AC_N","MYD88_N","NCR1_N","PRF1_N","RETNLB_N","SOCS1_N","TICAM1_N","TNF_N","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","dpi_max","WL_max","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","origin","current_infection","pc1","pc2","residuals_pc1_pc2","color"
"E_ferrisi","LM0227",99.7904442581727,"E57","E88","E64","BUSNA_STRA","E57bxLNW",22.94,23.86,96.1441743503772,0.88,6,6,7,10,7,1,30,75000,"falciformis_ferrisi","TRUE",-5.79,54.4201292769137,NA,-4.425,-9.13,22.0540301010045,13.8372505612264,NA,NA,-8.19194611447025,0.234995470837651,-7.0894069838021,0.15174334768575,-5.85412564504305,-7.2531983341549,-7.95111783610215,-8.21677953977815,NA,NA,-2.58613384421455,2.2117343013069,-9.32384188221335,2.4430196236392,1.4689386385375,-3.0197348482024,-9.49508967950745,-13.6956458817811,2.44725457215965,0.811289093769551,-5.98555643925255,-7.1733963797197,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,245000,95.8927074601844,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,-4.1072925398156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.854125645043,7.0894069838021,7.2531983341549,2.6590013937638,2.5861338442145,8.1919461144702,-0.234995470837699,-0.1517433476858,-2.2117343013069,9.3238418822133,-2.4430196236392,-1.4689386385375,3.0197348482024,9.4950896795074,13.6956458817811,-2.4472545721596,-0.8112890937696,5.9855564392525,7.1733963797197,"Lab","E_ferrisi",1.01152876768022,1.07671703592087,7.40837220139043,"green"
"E_ferrisi","LM0228",110.692416391898,"E57","E88","E64","STRA_BUSNA","E57bxFHT",23.4,21.23,110.221384832784,1.28,1,0,0,0,0,1,0,0,"falciformis_ferrisi","TRUE",-5.91,84.9852124920339,NA,-4.3925,-6.9325,NA,13.660586988559,27.3172963737582,NA,-10.5899496605369,-0.869895241543048,-7.96016120399515,1.31276360359515,-7.198881160173,-11.6654125307013,-9.26196676708155,NA,NA,-13.6567093851992,-6.4745155304524,3.6266009217436,-13.0191297314674,3.93607071437128,-0.938547677359949,-4.34985607966815,-9.23253456513885,-12.6032459358138,5.80345679158214,3.36809362637517,-4.00040064086385,-8.7022349814829,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,875000,100,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1988811601729,7.9601612039951,11.6654125307013,2.0205837916161,6.4745155304523,10.5899496605368,0.869895241543,-1.3127636035952,-3.6266009217436,13.0191297314674,-3.93607071437133,0.9385476773599,4.3498560796681,9.2325345651388,12.6032459358138,-5.80345679158219,-3.3680936263752,4.0004006408638,8.7022349814828,"Lab","E_ferrisi",1.48507648512602,0.142322817730393,8.97366467937584,"green"
"uninfected","LM0229",99.7376705141658,"E57","E88","UNI","SCHUNT_SCHUNT","E57bxCNT",19.88,19.06,104.302203567681,3.34,5,0,0,0,0,1,0,0,"falciformis_uninfected","FALSE",-7.12,11.9382981889895,NA,-3.1225,-4.6475,27.7955876695484,14.4941092225394,22.7615767953648,NA,-8.06100475827245,-4.49681836244825,-9.1712564623023,-1.4083003074807,NA,-9.68609983811255,-10.406140184723,-13.301478447009,NA,-8.2674675728254,-3.655053753918,6.68350535173905,NA,6.74481591907804,1.6228988085716,-5.5658289565592,-9.4707549336805,NA,5.30975448280529,5.28910145553176,-4.62324759351755,-8.3180228563988,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,96.4323189926548,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",8,-3.5676810073452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9080609956577,9.1712564623023,9.6860998381126,2.0205837916161,3.655053753918,8.0610047582724,4.4968183624482,1.4083003074807,-6.68350535173905,10.8677598401202,-6.74481591907804,-1.6228988085716,5.5658289565592,9.4707549336805,9.3424255017123,-5.30975448280529,-5.28910145553176,4.6232475935175,8.3180228563988,"Lab","uninfected",0.718838788129937,-0.82587898759571,3.66769972723219,"blue"
"E_ferrisi","LM0231",98.7433542774287,"E57","E88","E64","PWD_SCHUNT","E57bxCOV",20.95,20.69,101.256645722571,1.53,5,144,134,117,108,1,503,1257500,"falciformis_ferrisi","TRUE",-5.16,37.5056012557841,NA,-4.3125,-6.8575,24.9166729862101,10.9071136772582,23.5927714855823,NA,-16.5962968032046,-3.1321723035418,-9.30600627686385,-1.8762234190238,-10.2865658167577,-13.0007007916046,-11.4031804782615,-14.0095593089519,NA,-12.6856578083241,-5.8866548087041,0.74951152285875,-16.7691693911825,3.72384194572975,-3.1343826750611,-4.71183437231025,-12.5469333291328,-12.3335093929333,6.9869217373608,0.214546139304584,-4.5545536284618,-8.0531308401047,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1257500,98.7433542774287,"challenge","F1 hybrid","E_falciformis","E_ferrisi",8,-1.25664572257131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2865658167576,9.3060062768638,13.0007007916045,0.146871279328199,5.8866548087041,16.5962968032046,3.1321723035418,1.8762234190238,-0.7495115228588,16.7691693911825,-3.72384194572975,3.1343826750611,4.7118343723103,12.5469333291328,12.3335093929333,-6.9869217373608,-0.2145461393046,4.5545536284618,8.0531308401047,"Lab","E_ferrisi",3.41581417080524,0.249353356963797,6.59368288389206,"green"
"E_falciformis","LM0232",102.313234736443,"E57","E88","UNI","BUSNA_STRA","E57bxDIW",26.37,26.37,100,1.1,0,0,0,0,0,1,0,0,"falciformis_uninfected","TRUE",-6.22,21.8877741271661,NA,-3.01,-5.435,21.283178829474,13.6344535336585,27.6643462053201,NA,-11.8217892109534,-5.57096399134,-9.39383829630335,-4.6198141605138,NA,-9.56126044370455,-14.0387403072248,-7.6487252958156,NA,-14.0298926716616,-5.35086245625775,4.39290976295437,NA,3.76486361875241,-0.737066839019398,-3.90400175079895,-10.4926860715515,-13.4556985898211,4.92332054511112,3.0483359139587,-3.4006028378876,-11.1419411899506,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,100,"challenge","F1 hybrid","E_falciformis","uninfected",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3174148385308,9.3938382963033,9.5612604437045,2.6590013937638,5.3508624562577,11.8217892109533,5.57096399134,4.6198141605137,-4.39290976295442,12.3494214736004,-3.76486361875246,0.737066839019301,3.9040017507989,10.4926860715515,13.455698589821,-4.92332054511117,-3.0483359139588,3.4006028378875,11.1419411899506,"Lab","infected_eimeria",2.80740448968162,-1.21077957749123,4.83894619127281,"salmon"
"E_falciformis","LM0233",100.638226402419,"E57","E88","UNI","STRA_STRA","E57bxERY",30.71,29.77,103.157541148808,1.66,3,0,0,0,0,1,0,0,"falciformis_uninfected","TRUE",-5.97,81.662990584743,NA,NA,-6.1225,24.6130038932218,14.4037280578944,28.888649522421,NA,-8.73724512815885,-4.6744451644454,-8.78200953714845,-4.08515221687125,-8.8482438011672,-8.1919885931976,-11.4217031068886,-10.2092758353274,NA,-14.4849214645266,-5.0545218171618,5.2063541875095,-10.542394025835,6.17780646365352,2.8201946219405,-5.650160863265,-11.0300430056403,-13.4392798810946,-1.3999483158473,4.36669703935827,-4.52541721501375,-10.6153583372172,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,99.9328182734296,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",8,-0.0671817265703964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8482438011672,8.7820095371485,8.1919885931976,-1.0241839735134,5.0545218171618,8.7372451281589,4.6744451644454,4.0851522168712,-5.2063541875095,10.542394025835,-6.17780646365352,-2.8201946219405,5.650160863265,11.0300430056403,13.4392798810946,1.3999483158473,-4.3666970393583,4.5254172150138,10.6153583372172,"Lab","infected_eimeria",2.17336754171538,-2.15815697300167,2.98840508261552,"salmon"
"E_ferrisi","LM0234",99.6336996336996,"E57","E88","E64","STRA_STRA","E57bxAGX",32.61,32.76,99.5421245421245,1.35,6,90,111,114,108,1,423,1057500,"falciformis_ferrisi","TRUE",-7.89,112.055644071278,NA,-1.0425,-4.8275,22.2915427746276,14.5446123596065,NA,NA,-8.5666611835483,-0.1331223522872,-5.65171133220895,0.11368090690935,-6.09905753757465,-9.3698833956713,-7.084532837919,-7.74693041502105,NA,NA,-4.0112110206009,5.94367019055982,-10.3631351736806,5.81392229824578,2.6441205164481,-3.6326440948213,-8.71020489656075,-8.99886313813235,2.6136613800278,4.40733046449221,-3.34564817153735,-5.86224932590455,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1057500,97.8937728937729,"challenge","F0 M. m. domesticus","E_falciformis","E_ferrisi",8,-2.1062271062271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0990575375746,5.651711332209,9.3698833956713,2.2254607637861,4.0112110206009,8.5666611835483,0.1331223522872,-0.1136809069093,-5.94367019055982,10.3631351736806,-5.81392229824578,-2.6441205164481,3.6326440948213,8.7102048965608,8.9988631381324,-2.6136613800278,-4.4073304644922,3.3456481715374,5.8622493259045,"Lab","E_ferrisi",-0.206380402343653,-0.410818449870361,6.7677369390466,"green"
"E_ferrisi","LM0235",99.6424923391216,"E57","E88","E64","STRA_SCHUNT","E57bxFJS",19.58,19.58,100,0.99,0,0,0,0,0,1,0,0,"falciformis_ferrisi","TRUE",-5.84,53.5403908319353,NA,-3.0275,-5.5975,23.8706904773282,14.1094199540657,26.9021283600333,NA,-10.9541530165914,-0.110041669769251,-9.62163335702945,-1.55687116159815,-8.19117101201745,-7.0340376625291,-9.5008353165273,-9.76127052326245,NA,-12.7927084059676,-3.5672421732194,5.8122851930137,-11.5095439709888,6.58700566229892,0.961213408426151,-4.92876022070515,-9.58731051628815,-13.89493818404,3.31430366685765,3.92195567639779,-3.8769178340497,-7.8056795280408,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,377500,97.7017364657814,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",8,-2.29826353421861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1911710120174,9.6216333570294,7.0340376625291,2.0205837916161,3.5672421732194,10.9541530165914,0.1100416697693,1.5568711615981,-5.8122851930137,11.5095439709888,-6.58700566229892,-0.9612134084262,4.9287602207052,9.5873105162881,13.89493818404,-3.3143036668577,-3.9219556763978,3.8769178340497,7.8056795280408,"Lab","E_ferrisi",1.12872812154812,-0.580580059002841,5.22376905699264,"green"
"E_ferrisi","LM0236",103.047619047619,"E57","E88","E64","STRA_STRA","E57bxNRU",28.03,26.25,106.780952380952,1.42,7,54,61,71,55,1,241,602500,"falciformis_ferrisi","TRUE",-6.02,121.105391312534,NA,-2.0425,-5.0925,24.3751229157779,16.4419766101856,29.393211548114,NA,-6.008137969412,0.238891529106798,-6.7426409861087,1.48963439815525,NA,-5.57937791911045,NA,-7.9331463055923,NA,-12.9512349379284,-2.87455287420945,7.44461677086629,-12.7693486194284,8.28531565279707,7.75698454047301,-3.9507787876641,-7.3691419556365,NA,4.6785299960046,6.60872524462858,-3.60491083351905,-9.55636708288995,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,792500,88.952380952381,"challenge","F0 M. m. domesticus","E_falciformis","E_ferrisi",8,-11.047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0963452622396,6.7426409861087,5.5793779191105,0.146871279328199,2.8745528742094,6.008137969412,-0.238891529106798,-1.4896343981552,-7.44461677086629,12.7693486194284,-8.28531565279707,-7.75698454047301,3.9507787876641,7.3691419556365,9.9409908462965,-4.6785299960046,-6.60872524462859,3.604910833519,9.5563670828899,"Lab","E_ferrisi",-1.30750250669884,-1.05449963570723,-2.90764597278835,"green"
"E_ferrisi","LM0238",95.4184198223469,"E57","E88","E64","PWD_BUSNA","E57bxEWY",20.47,21.39,95.6989247311828,0.47,6,2,2,4,2,1,10,25000,"falciformis_ferrisi","TRUE",-4.42,61.4115394386923,NA,-4.3375,-6.3925,22.4657442876761,9.4143498510904,23.5008702072269,NA,-14.139722681222,-3.47393761903265,-9.80263089668245,-2.24920138005045,-11.2966621968328,-10.2108363396325,-13.5342590099589,-13.0513944365857,NA,-14.0865203561365,-7.87591925426955,0.362190225676919,-18.0501558768902,0.771778683019129,-0.928364500961271,-5.20434116755065,-11.9853307054881,-11.0370590671708,5.3347456544413,-1.8278200814675,-5.7121543291067,-8.8039630120739,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,437500,93.9223936418887,"challenge","F1 M. m. musculus","E_falciformis","E_ferrisi",8,-6.0776063581113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2966621968328,9.8026308966825,10.2108363396325,2.0205837916161,7.8759192542696,14.139722681222,3.4739376190326,2.2492013800505,-0.362190225676919,18.0501558768902,-0.77177868301913,0.928364500961301,5.2043411675506,11.9853307054881,11.0370590671708,-5.3347456544413,1.8278200814675,5.7121543291067,8.8039630120739,"Lab","E_ferrisi",3.78852413604469,0.571933698724177,2.26820093295749,"green"
